time,V(vin),V(vout)
0.00E+00,0.00E+00,1.00E+00
1.00E-18,1.00E-06,1.00E+00
2.00E-18,2.00E-06,1.00E+00
4.00E-18,4.00E-06,1.00E+00
8.00E-18,8.00E-06,1.00E+00
1.60E-17,1.60E-05,1.00E+00
3.20E-17,3.20E-05,1.00E+00
6.40E-17,6.40E-05,1.00E+00
1.28E-16,1.28E-04,1.00E+00
2.56E-16,2.56E-04,1.00E+00
5.12E-16,5.12E-04,1.00E+00
1.02E-15,1.02E-03,1.00E+00
2.05E-15,2.05E-03,1.00E+00
4.10E-15,4.10E-03,1.00E+00
8.19E-15,8.19E-03,1.01E+00
3.28E-14,3.28E-02,1.02E+00
6.55E-14,6.55E-02,1.04E+00
1.31E-13,1.31E-01,1.07E+00
2.31E-13,2.31E-01,1.11E+00
3.31E-13,3.31E-01,1.14E+00
4.31E-13,4.31E-01,1.18E+00
5.31E-13,5.31E-01,1.21E+00
6.31E-13,6.31E-01,1.23E+00
7.31E-13,7.31E-01,1.25E+00
8.31E-13,8.31E-01,1.27E+00
9.31E-13,9.31E-01,1.28E+00
1.00E-12,1.00E+00,1.28E+00
1.01E-12,1.00E+00,1.27E+00
1.03E-12,1.00E+00,1.26E+00
1.07E-12,1.00E+00,1.24E+00
1.15E-12,1.00E+00,1.20E+00
1.25E-12,1.00E+00,1.15E+00
1.35E-12,1.00E+00,1.10E+00
1.45E-12,1.00E+00,1.05E+00
1.65E-12,1.00E+00,9.54E-01
1.75E-12,1.00E+00,9.05E-01
1.85E-12,1.00E+00,8.55E-01
1.95E-12,1.00E+00,8.06E-01
2.05E-12,1.00E+00,7.57E-01
2.15E-12,1.00E+00,7.08E-01
2.35E-12,1.00E+00,6.11E-01
2.55E-12,1.00E+00,5.17E-01
2.65E-12,1.00E+00,4.71E-01
2.75E-12,1.00E+00,4.26E-01
2.85E-12,1.00E+00,3.82E-01
2.95E-12,1.00E+00,3.40E-01
3.05E-12,1.00E+00,3.00E-01
3.15E-12,1.00E+00,2.63E-01
3.25E-12,1.00E+00,2.29E-01
3.35E-12,1.00E+00,1.99E-01
3.45E-12,1.00E+00,1.71E-01
3.55E-12,1.00E+00,1.47E-01
3.65E-12,1.00E+00,1.26E-01
3.75E-12,1.00E+00,1.08E-01
3.85E-12,1.00E+00,9.26E-02
3.95E-12,1.00E+00,7.93E-02
4.05E-12,1.00E+00,6.80E-02
4.15E-12,1.00E+00,5.84E-02
4.25E-12,1.00E+00,5.01E-02
4.35E-12,1.00E+00,4.30E-02
4.45E-12,1.00E+00,3.69E-02
4.55E-12,1.00E+00,3.17E-02
4.65E-12,1.00E+00,2.72E-02
4.75E-12,1.00E+00,2.34E-02
4.85E-12,1.00E+00,2.01E-02
4.95E-12,1.00E+00,1.73E-02
5.05E-12,1.00E+00,1.48E-02
5.15E-12,1.00E+00,1.27E-02
5.25E-12,1.00E+00,1.09E-02
5.35E-12,1.00E+00,9.40E-03
5.45E-12,1.00E+00,8.07E-03
5.55E-12,1.00E+00,6.93E-03
5.65E-12,1.00E+00,5.95E-03
5.75E-12,1.00E+00,5.11E-03
5.85E-12,1.00E+00,4.39E-03
5.95E-12,1.00E+00,3.77E-03
6.05E-12,1.00E+00,3.24E-03
6.15E-12,1.00E+00,2.78E-03
6.25E-12,1.00E+00,2.39E-03
6.35E-12,1.00E+00,2.05E-03
6.45E-12,1.00E+00,1.76E-03
6.55E-12,1.00E+00,1.51E-03
6.65E-12,1.00E+00,1.30E-03
6.75E-12,1.00E+00,1.12E-03
6.85E-12,1.00E+00,9.58E-04
6.95E-12,1.00E+00,8.23E-04
7.05E-12,1.00E+00,7.07E-04
7.15E-12,1.00E+00,6.07E-04
7.25E-12,1.00E+00,5.22E-04
7.35E-12,1.00E+00,4.48E-04
7.45E-12,1.00E+00,3.85E-04
7.55E-12,1.00E+00,3.31E-04
7.75E-12,1.00E+00,2.45E-04
7.95E-12,1.00E+00,1.81E-04
8.15E-12,1.00E+00,1.34E-04
8.45E-12,1.00E+00,8.57E-05
8.66E-12,1.00E+00,6.54E-05
8.88E-12,1.00E+00,4.83E-05
9.09E-12,1.00E+00,3.44E-05
9.31E-12,1.00E+00,2.37E-05
9.52E-12,1.00E+00,1.62E-05
9.74E-12,1.00E+00,1.19E-05
9.95E-12,1.00E+00,1.09E-05
1.09E-11,1.00E+00,7.32E-06
1.18E-11,1.00E+00,4.55E-06
1.28E-11,1.00E+00,2.56E-06
1.37E-11,1.00E+00,1.35E-06
1.47E-11,1.00E+00,9.23E-07
1.56E-11,1.00E+00,1.28E-06
1.66E-11,1.00E+00,2.41E-06
2.09E-11,1.00E+00,2.41E-06
2.10E-11,1.00E+00,2.41E-06
2.10E-11,1.00E+00,2.73E-06
2.10E-11,9.90E-01,-5.07E-03
2.10E-11,9.70E-01,-1.48E-02
2.11E-11,9.30E-01,-3.27E-02
2.12E-11,8.50E-01,-6.47E-02
2.13E-11,7.50E-01,-9.98E-02
2.14E-11,6.50E-01,-1.31E-01
2.15E-11,5.50E-01,-1.59E-01
2.16E-11,4.50E-01,-1.81E-01
2.17E-11,3.50E-01,-1.94E-01
2.18E-11,2.50E-01,-1.99E-01
2.19E-11,1.50E-01,-1.92E-01
2.20E-11,5.00E-02,-1.76E-01
2.20E-11,0.00E+00,-1.64E-01
2.20E-11,0.00E+00,-1.55E-01
2.20E-11,0.00E+00,-1.38E-01
2.21E-11,0.00E+00,-1.05E-01
2.22E-11,0.00E+00,-4.05E-02
2.23E-11,0.00E+00,3.68E-02
2.24E-11,0.00E+00,1.11E-01
2.25E-11,0.00E+00,1.82E-01
2.26E-11,0.00E+00,2.51E-01
2.27E-11,0.00E+00,3.17E-01
2.28E-11,0.00E+00,3.80E-01
2.29E-11,0.00E+00,4.42E-01
2.30E-11,0.00E+00,5.00E-01
2.31E-11,0.00E+00,5.55E-01
2.32E-11,0.00E+00,6.08E-01
2.33E-11,0.00E+00,6.56E-01
2.34E-11,0.00E+00,7.01E-01
2.35E-11,0.00E+00,7.41E-01
2.36E-11,0.00E+00,7.77E-01
2.37E-11,0.00E+00,8.09E-01
2.38E-11,0.00E+00,8.37E-01
2.39E-11,0.00E+00,8.60E-01
2.40E-11,0.00E+00,8.81E-01
2.41E-11,0.00E+00,8.98E-01
2.42E-11,0.00E+00,9.12E-01
2.43E-11,0.00E+00,9.24E-01
2.44E-11,0.00E+00,9.34E-01
2.45E-11,0.00E+00,9.43E-01
2.46E-11,0.00E+00,9.51E-01
2.47E-11,0.00E+00,9.57E-01
2.48E-11,0.00E+00,9.63E-01
2.49E-11,0.00E+00,9.67E-01
2.50E-11,0.00E+00,9.72E-01
2.50E-11,0.00E+00,9.74E-01
2.50E-11,0.00E+00,9.74E-01
2.50E-11,0.00E+00,9.75E-01
2.51E-11,0.00E+00,9.76E-01
2.52E-11,0.00E+00,9.78E-01
2.53E-11,0.00E+00,9.81E-01
2.54E-11,0.00E+00,9.84E-01
2.55E-11,0.00E+00,9.86E-01
2.56E-11,0.00E+00,9.87E-01
2.57E-11,0.00E+00,9.89E-01
2.58E-11,0.00E+00,9.90E-01
2.59E-11,0.00E+00,9.92E-01
2.60E-11,0.00E+00,9.93E-01
2.61E-11,0.00E+00,9.94E-01
2.62E-11,0.00E+00,9.94E-01
2.63E-11,0.00E+00,9.95E-01
2.64E-11,0.00E+00,9.96E-01
2.65E-11,0.00E+00,9.96E-01
2.66E-11,0.00E+00,9.97E-01
2.67E-11,0.00E+00,9.97E-01
2.68E-11,0.00E+00,9.98E-01
2.69E-11,0.00E+00,9.98E-01
2.70E-11,0.00E+00,9.98E-01
2.71E-11,0.00E+00,9.98E-01
2.72E-11,0.00E+00,9.99E-01
2.73E-11,0.00E+00,9.99E-01
2.74E-11,0.00E+00,9.99E-01
2.75E-11,0.00E+00,9.99E-01
2.76E-11,0.00E+00,9.99E-01
2.77E-11,0.00E+00,9.99E-01
2.78E-11,0.00E+00,9.99E-01
2.79E-11,0.00E+00,9.99E-01
2.80E-11,0.00E+00,9.99E-01
2.81E-11,0.00E+00,1.00E+00
2.83E-11,0.00E+00,1.00E+00
2.85E-11,0.00E+00,1.00E+00
2.87E-11,0.00E+00,1.00E+00
2.90E-11,0.00E+00,1.00E+00
2.93E-11,0.00E+00,1.00E+00
2.95E-11,0.00E+00,1.00E+00
2.97E-11,0.00E+00,1.00E+00
2.99E-11,0.00E+00,1.00E+00
3.02E-11,0.00E+00,1.00E+00
3.04E-11,0.00E+00,1.00E+00
3.06E-11,0.00E+00,1.00E+00
3.09E-11,0.00E+00,1.00E+00
3.17E-11,0.00E+00,1.00E+00
3.25E-11,0.00E+00,1.00E+00
3.33E-11,0.00E+00,1.00E+00
3.42E-11,0.00E+00,1.00E+00
3.50E-11,0.00E+00,1.00E+00
3.58E-11,0.00E+00,1.00E+00
3.66E-11,0.00E+00,1.00E+00
3.99E-11,0.00E+00,1.00E+00
4.00E-11,0.00E+00,1.00E+00
