vin,Id(M2)
1.00E+00,1.01E-12
9.90E-01,9.98E-13
9.80E-01,9.87E-13
9.70E-01,9.76E-13
9.60E-01,9.65E-13
9.50E-01,9.55E-13
9.40E-01,9.44E-13
9.30E-01,9.34E-13
9.20E-01,9.24E-13
9.10E-01,9.14E-13
9.00E-01,9.05E-13
8.90E-01,8.95E-13
8.80E-01,8.86E-13
8.70E-01,8.76E-13
8.60E-01,8.67E-13
8.50E-01,8.58E-13
8.40E-01,8.49E-13
8.30E-01,8.38E-13
8.20E-01,8.27E-13
8.10E-01,8.15E-13
8.00E-01,8.03E-13
7.90E-01,7.90E-13
7.80E-01,7.77E-13
7.70E-01,7.64E-13
7.60E-01,7.50E-13
7.50E-01,7.36E-13
7.40E-01,7.21E-13
7.30E-01,7.06E-13
7.20E-01,6.89E-13
7.10E-01,6.72E-13
7.00E-01,6.52E-13
6.90E-01,6.31E-13
6.80E-01,6.08E-13
6.70E-01,5.80E-13
6.60E-01,5.49E-13
6.50E-01,5.11E-13
6.40E-01,4.64E-13
6.30E-01,4.05E-13
6.20E-01,3.29E-13
6.10E-01,2.30E-13
6.00E-01,9.92E-14
5.90E-01,-7.33E-14
5.80E-01,-3.00E-13
5.70E-01,-5.92E-13
5.60E-01,-9.55E-13
5.50E-01,-1.38E-12
5.40E-01,-1.85E-12
5.30E-01,-2.29E-12
5.20E-01,-2.66E-12
5.10E-01,-2.90E-12
5.00E-01,-2.99E-12
4.90E-01,-2.95E-12
4.80E-01,-2.81E-12
4.70E-01,-2.62E-12
4.60E-01,-2.41E-12
4.50E-01,-2.19E-12
4.40E-01,-1.97E-12
4.30E-01,-1.76E-12
4.20E-01,-1.56E-12
4.10E-01,-1.38E-12
4.00E-01,-1.20E-12
3.90E-01,-1.04E-12
3.80E-01,-8.87E-13
3.70E-01,-7.42E-13
3.60E-01,-6.06E-13
3.50E-01,-4.78E-13
3.40E-01,-3.58E-13
3.30E-01,-2.45E-13
3.20E-01,-1.39E-13
3.10E-01,-4.01E-14
3.00E-01,5.31E-14
2.90E-01,1.40E-13
2.80E-01,2.22E-13
2.70E-01,2.98E-13
2.60E-01,3.69E-13
2.50E-01,4.35E-13
2.40E-01,4.96E-13
2.30E-01,5.52E-13
2.20E-01,6.05E-13
2.10E-01,6.53E-13
2.00E-01,6.96E-13
1.90E-01,7.36E-13
1.80E-01,7.72E-13
1.70E-01,8.02E-13
1.60E-01,8.21E-13
1.50E-01,8.23E-13
1.40E-01,8.20E-13
1.30E-01,8.17E-13
1.20E-01,8.15E-13
1.10E-01,8.16E-13
1.00E-01,8.18E-13
9.00E-02,8.23E-13
8.00E-02,8.30E-13
7.00E-02,8.40E-13
6.00E-02,8.53E-13
5.00E-02,8.69E-13
4.00E-02,8.88E-13
3.00E-02,9.10E-13
2.00E-02,9.36E-13
1.00E-02,9.66E-13
0.00E+00,1.00E-12
